name	title	country	host	date	country_labeled
PP488345.1	"Influenza A virus (A/South American tern/Argentina/CH-PD037/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Sterna hirundinacea"	2023-10-10	Argentina
PQ002114.1	"Influenza A virus (A/Southern elephant seal/Peninsula Valdes/HA_CH-PD027/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Mirounga leonina"	2023-10-10	Argentina
PQ002122.1	"Influenza A virus (A/Southern elephant seal/Peninsula Valdes/HA_CH-PD032_oral/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Mirounga leonina"	2023-10-10	Argentina
PQ002130.1	"Influenza A virus (A/Southern elephant seal/Peninsula Valdes/HA_CH-PD032_tracheal/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Mirounga leonina"	2023-10-10	Argentina
PQ002138.1	"Influenza A virus (A/Southern elephant seal/Peninsula Valdes/HA_CH-PD032_lung/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Mirounga leonina"	2023-10-10	Argentina
PQ002146.1	"Influenza A virus (A/Southern elephant seal/Peninsula Valdes/HA_CH-PD032_brain/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Mirounga leonina"	2023-10-10	Argentina
PQ002154.1	"Influenza A virus (A/Southern elephant seal/Peninsula Valdes/HA_CH-PD032_rectal/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Mirounga leonina"	2023-10-10	Argentina
PQ379407.1	"Influenza A virus (A/cattle/MN/24-017652-005-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Bos taurus"	2024-06-14	USA
PQ338025.1	"Influenza A virus (A/slender-billed parakeet/Araucania /242881-1/2023(H5Nx)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Enicognathus leptorhynchus"	2023-03-17	Chile
PQ304209.1	"Influenza A virus (A/Sanderling/CHL/230758-2/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Calidris alba"	2023-03-17	Chile
PQ304221.1	"Influenza A virus (A/turkey/Valparaiso/248976-12/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Meleagris gallopavo"	2023-04-13	Chile
PQ304239.1	"Influenza A virus (A/South American sea lion/Los Lagos/247932/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Otaria byronia"	2023-04-09	Chile
PQ304256.1	"Influenza A virus (A/kelp gull/Valparaiso/236011-1/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Larus dominicanus"	2023-02-09	Chile
PQ304273.1	"Influenza A virus (A/turkey/Valparaiso/248976-13/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Meleagris gallopavo"	2023-04-13	Chile
PQ304425.1	"Influenza A virus (A/South polar skua/Antarctica/INACH-UC-UCHILE-SKU3/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Stercorarius maccormicki"	2024-03-03	Chile
PQ304435.1	"Influenza A virus (A/South polar skua/Antarctica/INACH-UC-UCHILE-SKU2/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Stercorarius maccormicki"	2024-03-03	Chile
PQ304440.1	"Influenza A virus (A/South polar skua/Antarctica/INACH-UC-UCHILE-SKU1/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Stercorarius maccormicki"	2024-03-03	Chile
PQ304488.1	"Influenza A virus (A/South polar skua/Antarctica/INACH-UC-UCHILE-SKU5/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Stercorarius maccormicki"	2024-03-03	Chile
PQ304566.1	"Influenza A virus (A/South polar skua/Antarctica/INACH-UC-UCHILE-SKU5L/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Stercorarius maccormicki"	2024-03-03	Chile
PQ304584.1	"Influenza A virus (A/South polar skua/Antarctica/INACH-UC-UCHILE-SKU4/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Stercorarius maccormicki"	2024-03-03	Chile
PQ305000.1	"Influenza A virus (A/turkey/Valparaiso/245886-1/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Meleagris gallopavo"	2023-03-30	Chile
PQ305002.1	"Influenza A virus (A/South American sea lion/Tarapaca/245719-10/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Otaria byronia"	2023-03-30	Chile
PQ305010.1	"Influenza A virus (A/Peruvian booby/Coquimbo/242304/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Sula variegata"	2023-03-15	Chile
PQ305024.1	"Influenza A virus (A/turkey/Valparaiso/245886-5/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Meleagris gallopavo"	2023-03-30	Chile
PQ305058.1	"Influenza A virus (A/turkey/Valparaiso/245886-3/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Meleagris gallopavo"	2023-03-30	Chile
PQ295907.1	"Influenza A virus (A/Antofagasta/25945/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Homo sapiens"	2023-03-24	Chile
PQ300675.1	"Influenza A virus (A/Guanay cormorant/CHL/239584/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Leucocarbo bougainvillii"	2023-03-01	Chile
PQ300685.1	"Influenza A virus (A/Sanderling/Arica y Parinacota/240265/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Calidris alba"	2023-03-03	Chile
PQ300698.1	"Influenza A virus (A/South American sea lion/Arica y Parinacota/240270-1/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Otaria byronia"	2023-03-01	Chile
PQ300706.1	"Influenza A virus (A/South American sea lion/Atacama/242444-1/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Otaria byronia"	2023-03-13	Chile
PQ300707.1	"Influenza A virus (A/Pelican/CHL/229424-4/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	Pelecanus	2022-12-22	Chile
PQ300721.1	"Influenza A virus (A/Chungungo/CHL/241436/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Lontra felina"	2023-03-10	Chile
PQ300731.1	"Influenza A virus (A/Burmeister's porpoise/CHL/246506-2/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Phocoena spinipinnis"	2023-03-31	Chile
PQ288091.1	"Influenza A virus (A/cattle/MI/24-012314-002-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Bos taurus"	2024-04-24	USA
PP763699.1	"Influenza A virus (A/Avian/Nigeria/GF14-16C HA/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Nigeria	Aves	2022-08-02	Nigeria
PQ135749.1	"Influenza A virus (A/cattle/MN/24-016523-029-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Bos taurus"	2024-06-04	USA
PQ129506.1	"Influenza A virus (A/Brown Skua/South Georgia and the South Sandwich Islands/8/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Stercorarius lonnbergi"	2023-10-08	"South Georgia Island"
PQ129514.1	"Influenza A virus (A/Brown Skua/South Georgia and the South Sandwich Islands/16/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Stercorarius lonnbergi"	2023-10-08	"South Georgia Island"
PQ129522.1	"Influenza A virus (A/Brown Skua/South Georgia and the South Sandwich Islands/24/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Stercorarius lonnbergi"	2023-10-08	"South Georgia Island"
PQ113933.1	"Influenza A virus (A/Southern Fulmar/South Georgia and the South Sandwich Islands/4/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"		2023-10-30	"South Georgia Island"
PQ113941.1	"Influenza A virus (A/Southern Fulmar/South Georgia and the South Sandwich Islands/12/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"		2023-11-14	"South Georgia Island"
PQ113953.1	"Influenza A virus (A/Southern Elephant Seal/South Georgia and the South Sandwich Islands/24/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Mirounga leonina"	2023-12-09	"South Georgia Island"
PQ113961.1	"Influenza A virus (A/Kelp Gull/South Georgia and the South Sandwich Islands/32/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Larus dominicanus"	2023-11-03	"South Georgia Island"
PQ113969.1	"Influenza A virus (A/Antarctic Tern/South Georgia and the South Sandwich Islands/40/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Sterna vittata"	2023-12-06	"South Georgia Island"
PQ113977.1	"Influenza A virus (A/Brown Skua/South Georgia and the South Sandwich Islands/48/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Stercorarius lonnbergi"	2023-10-31	"South Georgia Island"
PQ113985.1	"Influenza A virus (A/Kelp Gull/South Georgia and the South Sandwich Islands/56/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Larus dominicanus"	2023-10-31	"South Georgia Island"
PQ113993.1	"Influenza A virus (A/Brown Skua/South Georgia and the South Sandwich Islands/64/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Stercorarius lonnbergi"	2023-10-31	"South Georgia Island"
PQ114001.1	"Influenza A virus (A/Kelp Gull/South Georgia and the South Sandwich Islands/72/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Larus dominicanus"	2023-11-08	"South Georgia Island"
PQ114009.1	"Influenza A virus (A/Brown Skua/South Georgia and the South Sandwich Islands/80/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Stercorarius lonnbergi"	2023-11-08	"South Georgia Island"
PQ114017.1	"Influenza A virus (A/South Georgia Shag/South Georgia and the South Sandwich Islands/88/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Leucocarbo georgianus"	2023-11-27	"South Georgia Island"
PQ114025.1	"Influenza A virus (A/Brown Skua/South Georgia and the South Sandwich Islands/96/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Stercorarius lonnbergi"	2023-10-30	"South Georgia Island"
PQ114033.1	"Influenza A virus (A/Brown Skua/South Georgia and the South Sandwich Islands/104/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Stercorarius lonnbergi"	2023-11-15	"South Georgia Island"
PQ114041.1	"Influenza A virus (A/Brown Skua/South Georgia and the South Sandwich Islands/112/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Stercorarius lonnbergi"	2023-10-30	"South Georgia Island"
PQ114049.1	"Influenza A virus (A/Southern Elephant Seal/South Georgia and the South Sandwich Islands/120/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Mirounga leonina"	2023-12-09	"South Georgia Island"
PQ114057.1	"Influenza A virus (A/Antarctic Fur Seal/South Georgia and the South Sandwich Islands/128/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Arctocephalus gazella"	2023-12-09	"South Georgia Island"
PQ114065.1	"Influenza A virus (A/Kelp Gull/South Georgia and the South Sandwich Islands/136/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Larus dominicanus"	2023-11-08	"South Georgia Island"
PQ114073.1	"Influenza A virus (A/Brown Skua/South Georgia and the South Sandwich Islands/144/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Stercorarius lonnbergi"	2023-11-11	"South Georgia Island"
PQ114081.1	"Influenza A virus (A/Kelp Gull/South Georgia and the South Sandwich Islands/152/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Larus dominicanus"	2023-10-30	"South Georgia Island"
PQ114089.1	"Influenza A virus (A/Kelp Gull/South Georgia and the South Sandwich Islands/160/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Larus dominicanus"	2023-10-30	"South Georgia Island"
PQ051474.1	"Influenza A virus (A/cat/NM/24-012046-004-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Felis catus"	2024-04-17	USA
PQ011283.1	"Influenza A virus (A/Cattle/Colorado/24-014901-005-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Bos taurus"	2024-05-20	USA
PP786400.1	"Influenza A virus (A/Procellaria aequinoctialis/UbatubaBR/2271-N/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Brazil	"Procellaria aequinoctialis"	2023-11-10	Brazil
OR839997.1	"Influenza A virus (A/Gallus gallus/Bonito/2108-SN52/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Brazil	"Gallus gallus"	2023-09-22	Brazil
OR844540.1	"Influenza A virus (A/Otaria flavescens/Rio Grande/2148-N/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Brazil	"Otaria byronia"	2023-10-03	Brazil
OR852415.1	"Influenza A virus (A/Otaria flavescens/Torres/2165-SO/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Brazil	"Otaria byronia"	2023-10-11	Brazil
OR853704.1	"Influenza A virus (A/Megascops choliba/Serra/1409-N/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Brazil	"Megascops choliba"	2023-05-26	Brazil
OR853751.1	"Influenza A virus (A/Thalasseus maximus/Ubatuba/1546-N/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Brazil	"Thalasseus maximus"	2023-06-05	Brazil
OR857851.1	"Influenza A virus (A/Sula leucogaster/Sao Francisco do Sul/2122-N/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Brazil	"Sula leucogaster"	2023-09-27	Brazil
OR860361.1	"Influenza A virus (A/Thalasseus maximus/Itapoa/1941-N/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Brazil	"Thalasseus maximus"	2023-09-25	Brazil
OR878088.1	"Influenza A virus (A/Thalasseus maximus/Antonina/1775-N/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Brazil	"Thalasseus maximus"	2023-06-23	Brazil
OR881253.1	"Influenza A virus (A/Numida meleagris/Maracaja/1843-N3/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Brazil	"Numida meleagris"	2023-07-15	Brazil
OR889491.1	"Influenza A virus (A/Buteogallus urubitinga/Itapemirim/1630-SC/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Brazil	"Buteogallus urubitinga"	2023-06-07	Brazil
PP386940.1	"Influenza A virus (A/Sterna hirundo/EspiritoSanto/1455-N/2023(H5N1)) segment 4 hemagglutinin (HA) gene, partial cds"	Brazil	"Sterna hirundo"	2023-05-27	Brazil
PP390166.1	"Influenza A virus (A/Thalasseus maximus/RioGrandeSul/2177-N/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Brazil	"Thalasseus maximus"	2023-10-13	Brazil
PP768250.1	"Influenza A virus (A/Procellaria aequinoctialis/SaoSebastiaoBR/2259-N/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Brazil	"Procellaria aequinoctialis"	2023-11-09	Brazil
PP768660.1	"Influenza A virus (A/Pluvialis dominica/BertiogaBR/2252-N/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Brazil	"Pluvialis dominica"	2023-11-08	Brazil
PP769614.1	"Influenza A virus (A/Sterna hirundo/PenhaBR/2261-N/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Brazil	"Sterna hirundo"	2023-11-09	Brazil
PP769739.1	"Influenza A virus (A/Procellaria aequinoctialis/UbatubaBR/2271-N/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Brazil	"Procellaria aequinoctialis"	2023-11-10	Brazil
PP776752.1	"Influenza A virus (A/Thalasseus acuflavidus/MatinhosBR/2277-N/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Brazil	"Thalasseus acuflavidus"	2023-11-14	Brazil
PP777458.1	"Influenza A virus (A/Thalasseus acuflavidus/IlhaCompridaBR/2280-N/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Brazil	"Thalasseus acuflavidus"	2023-11-06	Brazil
PP778505.1	"Influenza A virus (A/Thalasseus maximus/PraiaGrandeBR/2339-N/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Brazil	"Thalasseus maximus"	2023-12-13	Brazil
PP779060.1	"Influenza A virus (A/Sterna hirundo/ItapemirimBR/0155-N/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Brazil	"Sterna hirundo"	2024-02-02	Brazil
PP779933.1	"Influenza A virus (A/Sterna hirundo/MacaeBR/0177-N/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Brazil	"Sterna hirundo"	2024-02-09	Brazil
PP780174.1	"Influenza A virus (A/Thalasseus acuflavidus/BertiogaBR/0291-N/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Brazil	"Thalasseus acuflavidus"	2024-02-22	Brazil
PP780446.1	"Influenza A virus (A/Sterna hirundo/PiumaBR/0448-N/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Brazil	"Sterna hirundo"	2024-03-02	Brazil
PP782205.1	"Influenza A virus (A/Sterna hirundo/SaoFranciscodeItabapoanaBR/0481-R/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Brazil	"Sterna hirundo"	2024-03-02	Brazil
